id,prompt_en,prompt_zh,prompt_ms,prompt_ta,explanationYes_en,explanationYes_zh,explanationYes_ms,explanationYes_ta,explanationNo_en,explanationNo_zh,explanationNo_ms,explanationNo_ta
25,I drink alcohol everyday.,我每天喝酒。,Saya minum alkohol setiap hari.,நான் தினமும் மது அருந்துகிறேன்.,"Drinking alcohol increases liver cancer risk primarily because the liver converts ethanol into acetaldehyde, a toxic chemical that damages DNA and proteins, while also causing oxidative stress, inflammation, and scarring (cirrhosis), creating an environment ripe for cancerous cell changes.",饮酒会增加肝癌风险，主要是因为肝脏将乙醇转化为乙醛，这是一种有毒化学物质，会损害DNA和蛋白质，同时还会引起氧化应激、炎症和疤痕（肝硬化），为癌细胞变化创造成熟的环境。,"Minum alkohol meningkatkan risiko kanser hati terutamanya kerana hati menukar etanol kepada asetaldehid, bahan kimia toksik yang merosakkan DNA dan protein, sambil juga menyebabkan tekanan oksidatif, keradangan, dan parut (sirosis), mewujudkan persekitaran yang sesuai untuk perubahan sel kanser.",மது அருந்துவது கல்லீரல் புற்றுநோய் ஆபத்தை அதிகரிக்கிறது- முக்கியமாக கல்லீரல் எத்தனாலை அசிடால்டிஹைடாக மாற்றுவதால்- இது DNA மற்றும் புரதங்களை சேதப்படுத்தும் நச்சு இரசாயனம்- ஆக்சிஜனேற்ற அழுத்தம்- வீக்கம் மற்றும் தழும்பு (சிரோசிஸ்) ஏற்படுத்துகிறது.,Good choice! Limiting or avoiding alcohol keeps your liver healthy and reduces liver cancer risk.,好选择！限制或避免饮酒可以保持肝脏健康并降低肝癌风险。,Pilihan yang baik! Mengehadkan atau mengelakkan alkohol mengekalkan kesihatan hati anda dan mengurangkan risiko kanser hati.,நல்ல தேர்வு! மது அருந்துவதை கட்டுப்படுத்துவது அல்லது தவிர்ப்பது உங்கள் கல்லீரலை ஆரோக்கியமாக வைத்திருக்கிறது.
26,I have noticed a lump or thickening in my breast or underarm area.,我注意到乳房或腋下有肿块或增厚。,Saya perasan ketulan atau penebalan di kawasan payudara atau ketiak saya.,என் மார்பகம் அல்லது அக்குள் பகுதியில் கட்டி அல்லது தடிமன் கவனித்தேன்.,A lump in the breast or underarm is one of the most common signs of breast cancer and should be examined by a doctor immediately.,乳房或腋下的肿块是乳腺癌最常见的征兆之一，应立即由医生检查。,Ketulan di payudara atau ketiak adalah salah satu tanda kanser payudara yang paling biasa dan perlu diperiksa oleh doktor dengan segera.,மார்பகம் அல்லது அக்குளில் கட்டி மார்பக புற்றுநோயின் மிகவும் பொதுவான அறிகுறிகளில் ஒன்று மற்றும் உடனடியாக மருத்துவரால் பரிசோதிக்கப்பட வேண்டும்.,Good! Continue doing monthly breast self-exams to detect any changes early.,很好！继续每月进行乳房自我检查以及早发现变化。,Bagus! Teruskan pemeriksaan sendiri payudara setiap bulan untuk mengesan sebarang perubahan awal.,நல்லது! மாற்றங்களை ஆரம்பத்தில் கண்டறிய மாதந்தோறும் மார்பக சுய பரிசோதனையை தொடருங்கள்.
27,"I have noticed changes in the size, shape, or appearance of my breast.",我注意到乳房的大小、形状或外观发生了变化。,"Saya perasan perubahan pada saiz, bentuk, atau penampilan payudara saya.","என் மார்பகத்தின் அளவு, வடிவம் அல்லது தோற்றத்தில் மாற்றங்களை கவனித்தேன்.",Changes in breast appearance can indicate breast cancer. Early detection is crucial.,乳房外观的变化可能表明乳腺癌。早期发现至关重要。,Perubahan pada penampilan payudara boleh menunjukkan kanser payudara. Pengesanan awal adalah penting.,மார்பக தோற்றத்தில் மாற்றங்கள் மார்பக புற்றுநோயை குறிக்கலாம். ஆரம்ப கண்டறிதல் முக்கியம்.,Good! Stay aware of any changes in your breasts and report them to your doctor promptly.,很好！请注意乳房的任何变化并及时告知医生。,Bagus! Kekal peka terhadap sebarang perubahan pada payudara anda dan maklumkan doktor anda dengan segera.,நல்லது! உங்கள் மார்பகங்களில் ஏதேனும் மாற்றங்களை கவனித்து உடனடியாக மருத்துவரிடம் தெரிவிக்கவும்.
28,I have noticed nipple discharge (other than breast milk) or changes in my nipple.,我注意到乳头有分泌物（母乳除外）或乳头发生变化。,Saya perasan keluar cecair dari puting (selain susu ibu) atau perubahan pada puting saya.,என் முலைக்காம்பில் சுரப்பு (தாய்ப்பால் தவிர) அல்லது முலைக்காம்பில் மாற்றங்களை கவனித்தேன்.,Nipple discharge or changes like inversion can be signs of breast cancer and require medical evaluation.,乳头分泌物或如内陷等变化可能是乳腺癌的征兆，需要医疗评估。,Keluar cecair dari puting atau perubahan seperti lekuk boleh menjadi tanda kanser payudara dan memerlukan penilaian perubatan.,முலைக்காம்பு சுரப்பு அல்லது உள்நோக்கிய மாற்றங்கள் மார்பக புற்றுநோயின் அறிகுறிகளாக இருக்கலாம் மற்றும் மருத்துவ மதிப்பீடு தேவை.,Good! Stay vigilant about breast changes. Regular mammograms are recommended from age 40 in Singapore.,很好！请关注乳房变化。新加坡建议从40岁开始定期进行乳房X光检查。,Bagus! Kekal berwaspada tentang perubahan payudara. Mamogram berkala disyorkan dari umur 40 tahun di Singapura.,நல்லது! மார்பக மாற்றங்களைக் கவனியுங்கள். சிங்கப்பூரில் 40 வயதிலிருந்து வழக்கமான மேமோகிராம் பரிந்துரைக்கப்படுகிறது.
29,"My mother, sister, or daughter has had breast cancer.",我的母亲、姐妹或女儿患过乳腺癌。,"Ibu, kakak, atau anak perempuan saya pernah menghidap kanser payudara.","என் தாய், சகோதரி அல்லது மகளுக்கு மார்பக புற்றுநோய் இருந்தது.",Having a first-degree relative with breast cancer doubles your lifetime risk. Discuss earlier screening with your doctor.,有一级亲属患乳腺癌会使您的终生风险增加一倍。与医生讨论更早筛查。,Mempunyai saudara terdekat dengan kanser payudara menggandakan risiko seumur hidup anda. Bincangkan saringan lebih awal dengan doktor anda.,முதல் நிலை உறவினருக்கு மார்பக புற்றுநோய் இருந்தால் உங்கள் வாழ்நாள் ஆபத்தை இரட்டிப்பாக்குகிறது. முந்தைய பரிசோதனை பற்றி மருத்துவரிடம் விவாதிக்கவும்.,"Good to know! Even without family history, regular screening from age 40 is still important for early detection.",很好！即使没有家族史，从40岁开始定期筛查对早期发现仍然很重要。,"Bagus! Walaupun tanpa sejarah keluarga, saringan berkala dari umur 40 tahun masih penting untuk pengesanan awal.","நல்லது! குடும்ப வரலாறு இல்லாவிட்டாலும், ஆரம்ப கண்டறிதலுக்கு 40 வயதிலிருந்து வழக்கமான பரிசோதனை முக்கியம்."
30,I had my first menstrual period before age 12 or menopause after age 55.,我在12岁之前第一次来月经或在55岁之后绝经。,Saya mendapat haid pertama sebelum umur 12 tahun atau menopaus selepas umur 55 tahun.,எனக்கு 12 வயதுக்கு முன் முதல் மாதவிடாய் அல்லது 55 வயதுக்கு பின் மாதவிடாய் நிறுத்தம் ஏற்பட்டது.,Early menstruation or late menopause increases breast cancer risk due to prolonged estrogen exposure.,早经或晚绝经会因长期暴露于雌激素而增加乳腺癌风险。,Haid awal atau menopaus lewat meningkatkan risiko kanser payudara kerana pendedahan estrogen yang berpanjangan.,ஆரம்ப மாதவிடாய் அல்லது தாமதமான மாதவிடாய் நிறுத்தம் நீண்டகால ஈஸ்ட்ரோஜன் வெளிப்பாட்டால் மார்பக புற்றுநோய் ஆபத்தை அதிகரிக்கிறது.,Good to know! Other factors like lifestyle and diet still matter. Keep up healthy habits for breast health.,很好！生活方式和饮食等其他因素仍然重要。保持健康习惯有助于乳房健康。,Bagus! Faktor lain seperti gaya hidup dan diet masih penting. Kekalkan tabiat sihat untuk kesihatan payudara.,நல்லது! வாழ்க்கை முறை மற்றும் உணவு போன்ற பிற காரணிகள் இன்னும் முக்கியம். மார்பக ஆரோக்கியத்திற்கு ஆரோக்கியமான பழக்கங்களை தொடருங்கள்.
31,I have never had children or had my first child after age 30.,我从未生育或在30岁后生第一个孩子。,Saya tidak pernah mempunyai anak atau mempunyai anak pertama selepas umur 30 tahun.,எனக்கு ஒருபோதும் குழந்தைகள் இல்லை அல்லது 30 வயதுக்கு பின் முதல் குழந்தை பெற்றேன்.,Not having children or having your first child after 30 slightly increases breast cancer risk.,没有生育或在30岁后生第一个孩子会略微增加乳腺癌风险。,Tidak mempunyai anak atau mempunyai anak pertama selepas 30 tahun sedikit meningkatkan risiko kanser payudara.,குழந்தைகள் இல்லாதது அல்லது 30 வயதுக்கு பின் முதல் குழந்தையை பெறுவது மார்பக புற்றுநோய் ஆபத்தை சற்று அதிகரிக்கிறது.,Good! Other modifiable factors like exercise and limiting alcohol also help reduce breast cancer risk.,很好！运动和限制饮酒等可改变的因素也有助于降低乳腺癌风险。,Bagus! Faktor lain yang boleh diubah seperti senaman dan mengehadkan alkohol juga membantu mengurangkan risiko kanser payudara.,நல்லது! உடற்பயிற்சி மற்றும் மது அருந்துவதை கட்டுப்படுத்துதல் போன்ற மாற்றக்கூடிய காரணிகள் மார்பக புற்றுநோய் ஆபத்தை குறைக்க உதவுகின்றன.
32,I am currently using or have used hormone replacement therapy (HRT).,我目前正在使用或曾经使用激素替代疗法（HRT）。,Saya sedang menggunakan atau pernah menggunakan terapi penggantian hormon (HRT).,நான் தற்போது ஹார்மோன் மாற்று சிகிச்சை (HRT) பயன்படுத்துகிறேன் அல்லது பயன்படுத்தியுள்ளேன்.,Combined hormone replacement therapy increases breast cancer risk. Discuss alternatives with your doctor.,联合激素替代疗法会增加乳腺癌风险。与医生讨论替代方案。,Terapi penggantian hormon gabungan meningkatkan risiko kanser payudara. Bincangkan alternatif dengan doktor anda.,இணைந்த ஹார்மோன் மாற்று சிகிச்சை மார்பக புற்றுநோய் ஆபத்தை அதிகரிக்கிறது. மருத்துவரிடம் மாற்று வழிகளை விவாதிக்கவும்.,"Good! If you ever consider HRT, discuss the risks and benefits with your doctor first.",很好！如果考虑使用HRT，请先与医生讨论风险和益处。,"Bagus! Jika anda pernah mempertimbangkan HRT, bincangkan risiko dan faedah dengan doktor anda terlebih dahulu.","நல்லது! HRT-ஐ பரிசீலிக்கும்போது, முதலில் மருத்துவரிடம் ஆபத்துகள் மற்றும் நன்மைகளை விவாதிக்கவும்."
33,I am a woman aged 40 or above and have never had a mammogram.,我是一名40岁或以上的女性，从未做过乳房X光检查。,Saya seorang wanita berumur 40 tahun atau lebih dan tidak pernah menjalani mamogram.,நான் 40 வயது அல்லது அதற்கு மேற்பட்ட பெண் மற்றும் ஒருபோதும் மேமோகிராம் செய்யவில்லை.,Women over 40 should have regular mammograms. Early detection through screening significantly improves survival rates.,40岁以上的女性应定期进行乳房X光检查。通过筛查早期发现可显著提高生存率。,Wanita berumur lebih 40 tahun perlu menjalani mamogram berkala. Pengesanan awal melalui saringan meningkatkan kadar kelangsungan hidup dengan ketara.,40 வயதுக்கு மேற்பட்ட பெண்கள் வழக்கமான மேமோகிராம் செய்ய வேண்டும். பரிசோதனை மூலம் ஆரம்பகால கண்டறிதல் உயிர்வாழ்வு விகிதங்களை கணிசமாக மேம்படுத்துகிறது.,Great that you've been screened! Regular mammograms every 1-2 years are recommended for women over 40.,已经做了筛查，很好！建议40岁以上女性每1-2年定期进行乳房X光检查。,Bagus kerana anda telah disaring! Mamogram berkala setiap 1-2 tahun disyorkan untuk wanita lebih 40 tahun.,பரிசோதனை செய்ததற்கு நல்லது! 40 வயதுக்கு மேற்பட்ட பெண்களுக்கு ஒவ்வொரு 1-2 ஆண்டுகளுக்கும் மேமோகிராம் பரிந்துரைக்கப்படுகிறது.
34,I have a persistent cough that won't go away or has gotten worse.,我有持续不消失或变得更严重的咳嗽。,Saya mempunyai batuk berterusan yang tidak hilang atau semakin teruk.,என் இருமல் தொடர்ச்சியாக இருக்கிறது அல்லது மோசமாகிவிட்டது.,"A persistent or worsening cough is a common early symptom of lung cancer, especially in smokers.",持续或恶化的咳嗽是肺癌的常见早期症状，特别是在吸烟者中。,"Batuk berterusan atau semakin teruk adalah gejala awal kanser paru-paru yang biasa, terutamanya pada perokok.","தொடர்ச்சியான அல்லது மோசமடையும் இருமல் நுரையீரல் புற்றுநோயின் பொதுவான ஆரம்ப அறிகுறி, குறிப்பாக புகைபிடிப்பவர்களில்.","Good! If a cough ever lasts more than 3 weeks, see a doctor to rule out serious conditions.",很好！如果咳嗽持续超过3周，请就医排除严重疾病。,"Bagus! Jika batuk berlangsung lebih daripada 3 minggu, jumpa doktor untuk menolak keadaan serius.","நல்லது! இருமல் 3 வாரங்களுக்கு மேல் நீடித்தால், தீவிர நிலைகளை நிராகரிக்க மருத்துவரை சந்திக்கவும்."
35,I have been coughing up blood or rust-colored sputum.,我咳出血或铁锈色痰。,Saya terbatuk darah atau kahak berwarna karat.,நான் இரத்தம் அல்லது துருப்பிடித்த நிற சளியை இருமுகிறேன்.,Coughing up blood is a serious symptom that requires immediate medical attention and can indicate lung cancer.,咳血是一个严重症状，需要立即就医，可能表明肺癌。,Batuk darah adalah gejala serius yang memerlukan perhatian perubatan segera dan boleh menunjukkan kanser paru-paru.,இரத்தம் இருமுதல் உடனடி மருத்துவ கவனம் தேவைப்படும் தீவிர அறிகுறி மற்றும் நுரையீரல் புற்றுநோயை குறிக்கலாம்.,"Good! If you ever notice blood when coughing, seek medical attention immediately.",很好！如果您在咳嗽时发现血液，请立即就医。,"Bagus! Jika anda pernah perasan darah semasa batuk, dapatkan rawatan perubatan segera.","நல்லது! இருமும்போது இரத்தத்தை கவனித்தால், உடனடியாக மருத்துவ உதவி பெறுங்கள்."
36,"I am experiencing chest pain, especially when breathing deeply or coughing.",我感到胸痛，特别是在深呼吸或咳嗽时。,"Saya mengalami sakit dada, terutamanya semasa bernafas dalam atau batuk.",ஆழமாக சுவாசிக்கும்போது அல்லது இருமும்போது மார்பு வலி அனுபவிக்கிறேன்.,Chest pain with breathing or coughing can be a sign of lung cancer and should be evaluated by a doctor.,呼吸或咳嗽时的胸痛可能是肺癌的征兆，应由医生评估。,Sakit dada semasa bernafas atau batuk boleh menjadi tanda kanser paru-paru dan perlu dinilai oleh doktor.,சுவாசிக்கும்போது அல்லது இருமும்போது மார்பு வலி நுரையீரல் புற்றுநோயின் அறிகுறியாக இருக்கலாம் மற்றும் மருத்துவரால் மதிப்பீடு செய்யப்பட வேண்டும்.,Good! Keep your lungs healthy through regular exercise and avoiding smoke exposure.,很好！通过定期运动和避免烟雾接触来保持肺部健康。,Bagus! Kekalkan paru-paru anda sihat melalui senaman berkala dan mengelakkan pendedahan asap.,நல்லது! வழக்கமான உடற்பயிற்சி மற்றும் புகை வெளிப்பாட்டை தவிர்ப்பதன் மூலம் உங்கள் நுரையீரலை ஆரோக்கியமாக வைத்திருங்கள்.
37,I am experiencing shortness of breath or wheezing.,我感到呼吸急促或喘息。,Saya mengalami sesak nafas atau berdehit.,மூச்சுத்திணறல் அல்லது மூச்சுவிடுதல் சிரமம் அனுபவிக்கிறேன்.,"Shortness of breath or wheezing can indicate lung cancer, especially if it's new or worsening.",呼吸急促或喘息可能表明肺癌，特别是如果是新出现或恶化的。,"Sesak nafas atau berdehit boleh menunjukkan kanser paru-paru, terutamanya jika ia baru atau semakin teruk.","மூச்சுத்திணறல் அல்லது மூச்சுவிடுதல் சிரமம் நுரையீரல் புற்றுநோயை குறிக்கலாம், குறிப்பாக புதிதாக அல்லது மோசமடைந்தால்.",Great! Deep breathing exercises and regular cardio help maintain strong lung function.,很好！深呼吸练习和定期有氧运动有助于保持强健的肺功能。,Bagus! Senaman pernafasan dalam dan kardio berkala membantu mengekalkan fungsi paru-paru yang kuat.,நல்லது! ஆழ்ந்த சுவாச பயிற்சிகள் மற்றும் வழக்கமான இதய பயிற்சி வலுவான நுரையீரல் செயல்பாட்டை பராமரிக்க உதவுகின்றன.
38,I am a current smoker or have smoked in the past (including e-cigarettes/vaping).,我目前是吸烟者或曾经吸烟（包括电子烟）。,Saya seorang perokok semasa atau pernah merokok pada masa lalu (termasuk rokok elektronik/vaping).,நான் தற்போது புகைபிடிப்பவன் அல்லது கடந்தகாலத்தில் புகைபித்தேன் (மின்-சிகரெட்/வேப்பிங் உட்பட).,Smoking is the number one risk factor for lung cancer. Smokers are 15-30 times more likely to develop lung cancer than non-smokers.,吸烟是肺癌的头号风险因素。吸烟者患肺癌的可能性是不吸烟者的15-30倍。,Merokok adalah faktor risiko nombor satu untuk kanser paru-paru. Perokok 15-30 kali lebih berkemungkinan menghidap kanser paru-paru berbanding bukan perokok.,புகைபிடித்தல் நுரையீரல் புற்றுநோய்க்கான முதல் ஆபத்து காரணி. புகைபிடிப்பவர்களுக்கு நுரையீரல் புற்றுநோய் வருவதற்கான வாய்ப்பு புகைபிடிக்காதவர்களை விட 15-30 மடங்கு அதிகம்.,Excellent! Never smoking is the single best way to prevent lung cancer. Keep it up!,太好了！不吸烟是预防肺癌最好的方法。继续保持！,Bagus! Tidak merokok adalah cara terbaik untuk mencegah kanser paru-paru. Teruskan!,மிகச்சிறப்பு! புகைபிடிக்காமல் இருப்பது நுரையீரல் புற்றுநோயை தடுக்க ஒரே சிறந்த வழி. தொடருங்கள்!
39,I live or work with someone who smokes regularly.,我与经常吸烟的人一起生活或工作。,Saya tinggal atau bekerja dengan seseorang yang merokok secara kerap.,நான் வழக்கமாக புகைபிடிக்கும் ஒருவருடன் வாழ்கிறேன் அல்லது வேலை செய்கிறேன்.,Secondhand smoke exposure increases lung cancer risk by 20-30%. Even non-smokers can develop lung cancer from prolonged exposure.,接触二手烟会使肺癌风险增加20-30%。即使是不吸烟者也可能因长期接触而患肺癌。,Pendedahan asap rokok terpakai meningkatkan risiko kanser paru-paru sebanyak 20-30%. Walaupun bukan perokok boleh menghidap kanser paru-paru daripada pendedahan berpanjangan.,இரண்டாம் நிலை புகை வெளிப்பாடு நுரையீரல் புற்றுநோய் ஆபத்தை 20-30% அதிகரிக்கிறது. புகைபிடிக்காதவர்களும் நீண்டகால வெளிப்பாட்டால் நுரையீரல் புற்றுநோயை உருவாக்கலாம்.,Good! A smoke-free environment greatly protects your lung health. Keep avoiding secondhand smoke.,很好！无烟环境可以很好地保护您的肺部健康。请继续避免二手烟。,Bagus! Persekitaran tanpa asap rokok melindungi kesihatan paru-paru anda. Teruskan mengelakkan asap rokok terpakai.,நல்லது! புகையில்லா சூழல் உங்கள் நுரையீரல் ஆரோக்கியத்தை பெரிதும் பாதுகாக்கிறது. இரண்டாம் நிலை புகையை தொடர்ந்து தவிர்க்கவும்.
40,"I have been exposed to asbestos, radon, or other workplace carcinogens.",我曾接触石棉、氡或其他工作场所致癌物质。,"Saya pernah terdedah kepada asbestos, radon, atau karsinogen tempat kerja lain.","அஸ்பெஸ்டாஸ், ரேடான் அல்லது பிற பணியிட புற்றுநோய் காரணிகளுக்கு வெளிப்பட்டேன்.","Occupational exposure to asbestos, radon, and certain chemicals significantly increases lung cancer risk.",职业接触石棉、氡和某些化学物质会显著增加肺癌风险。,"Pendedahan pekerjaan kepada asbestos, radon, dan bahan kimia tertentu meningkatkan risiko kanser paru-paru dengan ketara.","அஸ்பெஸ்டாஸ், ரேடான் மற்றும் சில இரசாயனங்களுக்கு தொழில்சார் வெளிப்பாடு நுரையீரல் புற்றுநோய் ஆபத்தை கணிசமாக அதிகரிக்கிறது.","Good! If your workplace involves chemicals or dust, always use proper protective equipment.",很好！如果您的工作场所涉及化学品或粉尘，请始终使用适当的防护设备。,"Bagus! Jika tempat kerja anda melibatkan bahan kimia atau habuk, sentiasa gunakan peralatan perlindungan yang sesuai.","நல்லது! உங்கள் பணியிடத்தில் இரசாயனங்கள் அல்லது தூசி இருந்தால், எப்போதும் சரியான பாதுகாப்பு உபகரணங்களை பயன்படுத்துங்கள்."
41,I have a family member who had lung cancer.,我有家庭成员患过肺癌。,Saya mempunyai ahli keluarga yang menghidap kanser paru-paru.,எனக்கு நுரையீரல் புற்றுநோய் இருந்த குடும்ப உறுப்பினர் உள்ளார்.,"Family history of lung cancer increases your risk, especially among Asian female non-smokers.",肺癌家族史会增加您的风险，特别是在亚洲不吸烟女性中。,"Sejarah keluarga kanser paru-paru meningkatkan risiko anda, terutamanya di kalangan wanita Asia bukan perokok.","நுரையீரல் புற்றுநோய் குடும்ப வரலாறு உங்கள் ஆபத்தை அதிகரிக்கிறது, குறிப்பாக ஆசிய பெண் புகைபிடிக்காதவர்களிடையே.","Good to know! Even without family history, avoiding smoking remains the top way to prevent lung cancer.",很好！即使没有家族史，避免吸烟仍然是预防肺癌的首要方法。,"Bagus! Walaupun tanpa sejarah keluarga, mengelakkan merokok kekal sebagai cara utama untuk mencegah kanser paru-paru.","நல்லது! குடும்ப வரலாறு இல்லாவிட்டாலும், புகைபிடிப்பதை தவிர்ப்பது நுரையீரல் புற்றுநோயை தடுக்க முதன்மையான வழியாக உள்ளது."
42,I have noticed blood in my stool (bright red or very dark/black).,我发现大便中有血（鲜红色或非常深/黑色）。,Saya perasan darah dalam najis saya (merah terang atau sangat gelap/hitam).,என் மலத்தில் இரத்தம் (பிரகாசமான சிவப்பு அல்லது மிகவும் இருண்ட/கருப்பு) இருப்பதை கவனித்தேன்.,Blood in the stool is a key warning sign of colorectal cancer. See a doctor immediately for evaluation.,大便带血是结直肠癌的关键警告信号。立即去看医生进行评估。,Darah dalam najis adalah tanda amaran utama kanser kolorektal. Jumpa doktor dengan segera untuk penilaian.,மலத்தில் இரத்தம் பெருங்குடல் புற்றுநோயின் முக்கிய எச்சரிக்கை அறிகுறி. உடனடியாக மருத்துவரை சந்திக்கவும்.,"Good! If you ever notice blood in your stool, see a doctor right away. Early detection saves lives.",很好！如果您发现大便带血，请立即就医。早期发现可以挽救生命。,"Bagus! Jika anda perasan darah dalam najis, jumpa doktor dengan segera. Pengesanan awal menyelamatkan nyawa.","நல்லது! மலத்தில் இரத்தம் கவனித்தால், உடனடியாக மருத்துவரை சந்திக்கவும். ஆரம்ப கண்டறிதல் உயிர்களை காப்பாற்றுகிறது."
43,"I have experienced a major change in bowel habits (diarrhea, constipation, or narrower stools) lasting more than a few days.",我的排便习惯发生了重大变化（腹泻、便秘或大便变细）持续超过几天。,"Saya mengalami perubahan besar dalam tabiat usus (cirit-birit, sembelit, atau najis lebih nipis) yang berlangsung lebih daripada beberapa hari.","என் குடல் பழக்கங்களில் பெரிய மாற்றம் (வயிற்றுப்போக்கு, மலச்சிக்கல் அல்லது மெல்லிய மலம்) சில நாட்களுக்கு மேல் தொடர்கிறது.",Persistent changes in bowel habits can indicate colorectal cancer and require medical evaluation.,排便习惯的持续变化可能表明结直肠癌，需要医疗评估。,Perubahan berterusan dalam tabiat usus boleh menunjukkan kanser kolorektal dan memerlukan penilaian perubatan.,குடல் பழக்கங்களில் தொடர்ச்சியான மாற்றங்கள் பெருங்குடல் புற்றுநோயை குறிக்கலாம் மற்றும் மருத்துவ மதிப்பீடு தேவை.,Great! Regular bowel habits are a good sign. Eat plenty of fiber and stay hydrated to maintain them.,很好！规律的排便习惯是好迹象。多吃纤维和保持水分以维持它们。,Bagus! Tabiat usus yang teratur adalah tanda baik. Makan banyak serat dan kekal terhidrat untuk mengekalkannya.,நல்லது! வழக்கமான குடல் பழக்கங்கள் நல்ல அறிகுறி. அவற்றை பராமரிக்க நிறைய நார்ச்சத்து சாப்பிட்டு நீரேற்றமாக இருங்கள்.
44,I feel like my bowel doesn't empty completely after a bowel movement.,我感觉排便后肠道没有完全排空。,Saya rasa usus saya tidak dikosongkan sepenuhnya selepas buang air besar.,மலம் கழித்த பின்னும் என் குடல் முழுமையாக காலியாகவில்லை என்று உணர்கிறேன்.,A persistent feeling of incomplete bowel emptying can be a symptom of colorectal cancer.,持续的排便不完全感可能是结直肠癌的症状。,Perasaan berterusan pengosongan usus yang tidak lengkap boleh menjadi gejala kanser kolorektal.,முழுமையற்ற குடல் காலியாக்கத்தின் தொடர்ச்சியான உணர்வு பெருங்குடல் புற்றுநோயின் அறிகுறியாக இருக்கலாம்.,Good! Staying hydrated and eating fiber-rich foods helps maintain healthy bowel function.,很好！保持水分充足和多吃高纤维食物有助于维持健康的肠道功能。,Bagus! Kekal terhidrat dan makan makanan tinggi serat membantu mengekalkan fungsi usus yang sihat.,நல்லது! நீரேற்றமாக இருந்து நார்ச்சத்து நிறைந்த உணவுகளை சாப்பிடுவது ஆரோக்கியமான குடல் செயல்பாட்டை பராமரிக்க உதவுகிறது.
45,I have been diagnosed with colon polyps in the past.,我过去被诊断出患有结肠息肉。,Saya pernah didiagnosis dengan polip kolon pada masa lalu.,கடந்தகாலத்தில் பெருங்குடல் பாலிப்கள் இருப்பதாக கண்டறியப்பட்டது.,Previous colon polyps significantly increase your risk. Regular follow-up colonoscopies are critical for prevention.,以前的结肠息肉会显著增加您的风险。定期随访结肠镜检查对预防至关重要。,Polip kolon terdahulu meningkatkan risiko anda dengan ketara. Kolonoskopi susulan berkala adalah penting untuk pencegahan.,முந்தைய பெருங்குடல் பாலிப்கள் உங்கள் ஆபத்தை கணிசமாக அதிகரிக்கின்றன. தொடர் கோலோனோஸ்கோபி தடுப்புக்கு முக்கியம்.,"That's good! If you ever have polyps detected, ensure you keep all your follow-up appointments.",很好！如果曾发现息肉，请确保按时参加所有复诊。,"Bagus! Jika anda pernah mempunyai polip, pastikan anda menjaga semua temu janji susulan anda.","நல்லது! பாலிப்கள் கண்டறியப்பட்டால், உங்கள் அனைத்து தொடர் சந்திப்புகளையும் கடைபிடிக்கவும்."
46,I have been diagnosed with inflammatory bowel disease (Crohn's disease or ulcerative colitis).,我被诊断出患有炎症性肠病（克罗恩病或溃疡性结肠炎）。,Saya telah didiagnosis dengan penyakit radang usus (penyakit Crohn atau kolitis ulseratif).,அழற்சி குடல் நோய் (குரோன் நோய் அல்லது அல்சரேட்டிவ் கோலிடிஸ்) இருப்பதாக கண்டறியப்பட்டது.,IBD significantly increases colorectal cancer risk. Regular screening and monitoring are essential.,IBD会显著增加结直肠癌风险。定期筛查和监测至关重要。,IBD meningkatkan risiko kanser kolorektal dengan ketara. Saringan dan pemantauan berkala adalah penting.,IBD பெருங்குடல் புற்றுநோய் ஆபத்தை கணிசமாக அதிகரிக்கிறது. வழக்கமான பரிசோதனை மற்றும் கண்காணிப்பு அவசியம்.,Good! A healthy gut through balanced diet and exercise helps reduce your colorectal cancer risk.,很好！通过均衡饮食和运动维持健康的肠道有助于降低结直肠癌风险。,Bagus! Usus yang sihat melalui diet seimbang dan senaman membantu mengurangkan risiko kanser kolorektal anda.,நல்லது! சமச்சீர் உணவு மற்றும் உடற்பயிற்சி மூலம் ஆரோக்கியமான குடல் உங்கள் பெருங்குடல் புற்றுநோய் ஆபத்தை குறைக்க உதவுகிறது.
47,"A parent, sibling, or child has had colorectal cancer.",父母、兄弟姐妹或子女患过结直肠癌。,"Ibu bapa, adik-beradik, atau anak pernah menghidap kanser kolorektal.","பெற்றோர், சகோதரர் அல்லது குழந்தைக்கு பெருங்குடல் புற்றுநோய் இருந்தது.",Family history of colorectal cancer increases your risk. You may need to start screening earlier than age 50.,结直肠癌家族史会增加您的风险。您可能需要在50岁之前开始筛查。,Sejarah keluarga kanser kolorektal meningkatkan risiko anda. Anda mungkin perlu memulakan saringan lebih awal daripada umur 50 tahun.,பெருங்குடல் புற்றுநோய் குடும்ப வரலாறு உங்கள் ஆபத்தை அதிகரிக்கிறது. நீங்கள் 50 வயதுக்கு முன் பரிசோதனையை தொடங்க வேண்டியிருக்கலாம்.,"Good to know! Even without family history, screening from age 50 is recommended. Free FIT kits are available from SCS.",很好！即使没有家族史，也建议从50岁开始筛查。新加坡癌症协会提供免费FIT套件。,"Bagus! Walaupun tanpa sejarah keluarga, saringan dari umur 50 tahun disyorkan. Kit FIT percuma tersedia dari SCS.","நல்லது! குடும்ப வரலாறு இல்லாவிட்டாலும், 50 வயதிலிருந்து பரிசோதனை பரிந்துரைக்கப்படுகிறது. SCS-இலிருந்து இலவச FIT கருவிகள் கிடைக்கின்றன."
